Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
228461,OIE,35.50,129.32,Asia,Republic Of Korea,Kyongsangnam-Do,Nam-Gu,Exact,6/3/2017,6/12/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",1555,0,0,1555,0,,,,
216238,OIE,37.46,127.21,Asia,Republic Of Korea,Kyonggi-Do,Namhansanseong-Myeon,Exact,4/5/2016,9/7/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",49,0,0,49,0,,,,
223581,National authorities,-5.15,105.38,Asia,Indonesia,Lampung,Nampi Rejo,Exact,1/28/2017,1/28/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,27,,,,,,
224966,OIE,51.56,18.06,Europe,Poland,Wielkopolskie,Namyslaki,Exact,3/8/2017,3/10/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",19010,1500,1500,17510,0,,,,
228688,National authorities,29.54,106.58,Asia,China,Chongqing Shi,Nan'An District,Exact,,6/19/2017,Confirmed,Influenza - Avian,H7N9 LPAI,"domestic, chicken",,,1,,,,,,
225339,National authorities,29.54,106.58,Asia,China,Chongqing Shi,Nan'An District,Exact,,2/24/2017,Confirmed,Influenza - Avian,H7N9 LPAI,"environmental sample, unspecified env. sample",0,0,0,0,0,,0,,
223827,National authorities,28.68,115.88,Asia,China,Jiangxi Sheng,Nanchang,Unknown,2/1/2017,2/16/2017,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,,,1,
223845,National authorities,28.68,115.88,Asia,China,Jiangxi Sheng,Nanchang,Unknown,1/28/2017,2/16/2017,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,,,1,
223694,National authorities,28.68,115.88,Asia,China,Jiangxi Sheng,Nanchang,Unknown,1/26/2017,2/10/2017,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,,,1,
222444,National authorities,28.68,115.88,Asia,China,Jiangxi Sheng,Nanchang,Exact,,1/7/2017,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,,,,
222534,National authorities,28.68,115.88,Asia,China,Jiangxi Sheng,Nanchang,Exact,1/2/2017,1/11/2017,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,,,,
208364,National authorities,32.78,119.45,Asia,China,Jiangsu Sheng,Nanhai Comprehensive Market,Exact,6/30/2015,11/12/2015,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, duck",,1,,,,,,,
229485,National authorities,32.39,118.82,Asia,China,Jiangsu Sheng,Nanjing,Unknown,7/12/2017,7/21/2017,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,Female,62,1,
226331,National authorities,32.39,118.82,Asia,China,Jiangsu Sheng,Nanjing,Unknown,4/1/2017,4/7/2017,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,,,1,
225896,National authorities,32.39,118.82,Asia,China,Jiangsu Sheng,Nanjing,Unknown,3/15/2017,3/31/2017,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,Male,60,1,
223809,National authorities,32.39,118.82,Asia,China,Jiangsu Sheng,Nanjing,Unknown,1/30/2017,2/16/2017,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,,,1,
223683,National authorities,32.39,118.82,Asia,China,Jiangsu Sheng,Nanjing,Centroid Admin1,1/28/2017,2/10/2017,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,,,1,
223684,National authorities,32.39,118.82,Asia,China,Jiangsu Sheng,Nanjing,Centroid Admin1,1/25/2017,2/10/2017,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,,,1,
222536,National authorities,32.39,118.82,Asia,China,Jiangsu Sheng,Nanjing,Exact,,1/20/2017,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,,,,
